Accession number,CIAT code,DOI,Synonyms,Common names,Genus,Species,Subspecies,Variety,Biological status,CORE collection,Country,Department,County,Place,Date of collection (dd-mm-yyyy),Altitude (masl),Latitude (decimal),Longitude (decimal),Name,Institution,Country,Name,dd-mm-yyyy,Growth habit,Plant height (cm),Flowering,Shape of leaf-lobe central,Petiole color,Developed leaf color,Number of leaf lobes,Root color,Dry matter content (%),Total HCN content (ppm),Total sugars (%),Total amylose (%),Clarity (%),Temperature pasting (°C),Maximum viscosity,Breakdown (cP),Easy cooking (minutes),,,Null,  1  ,  2  ,  3  ,  4  ,Responsible
VEN41,VEN 41,10.18730/P8NGS,"041, UCV 2137",,Manihot,esculenta,,,Landrace,0,Venezuela,,,,10-08-1966,,,,,UNIVERSIDAD CENTRAL DE VENEZUELA,Venezuela,Ruben D. Guillen,28-01-1971,,230,Absent,Lanceolate,,,,Yellow,34.55,100,4.07,21.77,31.8,66.8,473,174,1.66,2002,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,,100,Cesar Humberto Ocampo Nahar
VEN46,VEN 46,10.18730/PBXDM,"046, UCV 2107",Mantequilla,Manihot,esculenta,,,Landrace,0,Venezuela,,Cocuina-Delta Amaruco,,27-01-1961,,,,,UNIVERSIDAD CENTRAL DE VENEZUELA,Venezuela,S. Gonzales,28-01-1971,,305,Absent,Lanceolate,,,,Cream,,,,,,,,,,,,,86,,,100,Cesar Humberto Ocampo Nahar
VEN30,VEN 30,10.18730/PDJDE,"030, UCV 2229",,Manihot,esculenta,,,Landrace,0,Venezuela,Aragua,,,01-04-1969,,,,,UNIVERSIDAD CENTRAL DE VENEZUELA,Venezuela,Alvaro Montaldo,28-01-1971,,125,Present,Lanceolate,,,,White,,,,,,,,,,,,,86,,,100,Cesar Humberto Ocampo Nahar
USA7,USA 7,10.18730/PABNK,Q 23002,Gariasa,Manihot,esculenta,,,Landrace,1,United States,Maryland,Beltsville,,,,39.0333,-76.9167,,UNITED STATES DEPARTMENT OF AGRICULTURE,United States,,01-04-1986,,220,Present,Lanceolate,,,,White,26.45,741,2.5,22.15,53.5,63.75,575,324,1.99,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,96,,Cesar Humberto Ocampo Nahar
TAI6,TAI 6,10.18730/P9H1J,,27-77-10,Manihot,esculenta,,,Improved-Line,0,Thailand,Bangkhen,Bangkok,,,,13.7333,100.5,,THAILAND DEPARTMENT OF AGRICULTURE,Thailand,,01-01-1986,,200,Present,Lanceolate,,,,White,,,,,,,,,,,,,,91,,,Cesar Humberto Ocampo Nahar
TAI3,TAI 3,10.18730/PCPTK,,Rayong 3,Manihot,esculenta,,,Improved-Line,1,Thailand,Bangkhen,Bangkok,,,,13.7333,100.5,,THAILAND DEPARTMENT OF AGRICULTURE,Thailand,,01-01-1986,,215,Present,Lanceolate,,,,White,42.02,24,1.6,20.06,43.8,62.2,1158,486,3.81,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,100,Cesar Humberto Ocampo Nahar
PTR37,PTR 37,10.18730/P8NT=,037,No.9589,Manihot,esculenta,,,Landrace,0,Puerto Rico,,,,01-10-1970,,,,,,,Victor Manuel Patino,01-10-1970,,245,Present,Lanceolate,,,,White,34.02,307,3.22,20.84,34.1,66.2,752,264,2.61,2002,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
PTR43,PTR 43,10.18730/PCPVM,043,No.9580,Manihot,esculenta,,,Landrace,0,Puerto Rico,,,,01-10-1970,,,,,,,Victor Manuel Patino,01-10-1970,,210,Present,Lanceolate,,,,Cream,,,,,,,,,,,,,86,91,,,Cesar Humberto Ocampo Nahar
PTR8,PTR 8,10.18730/PB5X8,008,No.2595,Manihot,esculenta,,,Landrace,1,Puerto Rico,Mayaguez,Mayaguez,,07-10-1970,30,18.2,-67.15,,,,Victor Manuel Patino,07-10-1970,,195,Absent,Oblong-Lanceolate,Red,Dark Green,Seven Lobes,White,,,,,,,,,,,,,86,,,,Cesar Humberto Ocampo Nahar
PHI2,PHI 2,10.18730/PABSQ,,,Manihot,esculenta,,,Landrace,0,Philippines,,,,,,,,,VISAYAS STATE COLLEGE OF AGRICULTURE,Philippines,,,,215,Absent,Elliptic-Lanceolate,,,,Yellow,,,,,,,,,,,,,,91,,,Cesar Humberto Ocampo Nahar
