Accession number,CIAT code,DOI,Synonyms,Common names,Genus,Species,Subspecies,Variety,Biological status,CORE collection,Country,Department,County,Place,Date of collection (dd-mm-yyyy),Altitude (masl),Latitude (decimal),Longitude (decimal),Name,Institution,Country,Name,dd-mm-yyyy,Growth habit,Plant height (cm),Flowering,Shape of leaf-lobe central,Petiole color,Developed leaf color,Number of leaf lobes,Root color,Dry matter content (%),Total HCN content (ppm),Total sugars (%),Total amylose (%),Clarity (%),Temperature pasting (°C),Maximum viscosity,Breakdown (cP),Easy cooking (minutes),,,Null,  1  ,  2  ,  3  ,  4  ,Responsible
COL2145,COL 2145,10.18730/PCGN7,"094, COL 2145",Arahuana,Manihot,esculenta,,,Landrace,0,Peru,Loreto,San Antonio,Francisco Pinta,20-11-1979,,-3.8,-70.3,,,,"Alvaro Amaya, Clair H. Hershey, Pablo Emilio Daza",20-11-1979,,190,Absent,Linear-Pandurate,,,,White,36.29,54,1.0,19.91,51.9,65.9,872,440,2.25,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,96,,Cesar Humberto Ocampo Nahar
COL2165,COL 2165,10.18730/P8EZ1,"116, COL 2165",Curina,Manihot,esculenta,,,Landrace,0,Colombia,Amazonas,Tarapaca,El Ventura Kms: 6,21-11-1979,,-2.8667,-69.8167,,,,Alvaro Amaya,21-11-1979,,215,Absent,Lanceolate,,,,Yellow,35.91,132,1.99,22.15,39.8,66.7,670,238,3.23,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,96,,Cesar Humberto Ocampo Nahar
COL2171,COL 2171,10.18730/P99Q6,"122, COL 2171",Tresmesina,Manihot,esculenta,,,Landrace,0,Colombia,Amazonas,El Encanto,El Encanto Kms: 1,22-11-1979,,-1.6,-73.3167,,,,Alvaro Amaya,22-11-1979,,190,Present,Lanceolate,,,,White,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
COL2073,COL 2073,10.18730/P8F35,"7, COL 2073",Verdecita,Manihot,esculenta,,,Landrace,0,Colombia,Amazonas,Leticia,Vereda El Km-6 Kms: 6,13-11-1979,110,-4.1667,-69.95,,,,"Alvaro Amaya, Clair H. Hershey, Pablo Emilio Daza, Yoshiki Umemura",13-11-1979,,230,Absent,Obovate-Lanceolate,,,,White,36.08,38,2.4,22.69,34.95,66.05,1085,486,2.05,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
CM3251-4,CM 3251- 4,10.18730/PB0Y$,CM 3251- 4,,Manihot,esculenta,,,Improved-Line ( CM 1399- 14x CM 91- 3),0,Colombia,Valle Del Cauca,Palmira,Ciat Kms: 17,,915,3.5333,-76.25,,,,,,,,Present,Straight or Linear,Green,Light Green,Seven Lobes,,,,,,,,,,,,,,,91,,,Cesar Humberto Ocampo Nahar
SG702-13,SG 702- 13,10.18730/PBS3Y,SG 702- 13,,Manihot,esculenta,,,Improved-Line (COL 2060),0,Colombia,Valle Del Cauca,Palmira,Ciat Kms: 17,,915,3.5333,-76.25,,,,,,,260,Present,Lanceolate,Green With Little Red,Dark Green,Seven Lobes,White,,,,,,,,,,,,,,91,96,,Cesar Humberto Ocampo Nahar
SG302-1,SG 302- 1,10.18730/PDCRJ,SG 302- 1,,Manihot,esculenta,,,Improved-Line (COL 1684),0,Colombia,Valle Del Cauca,Palmira,Ciat Kms: 17,,915,3.5333,-76.25,,,,,,,245,Present,Lanceolate,Green-Yellow,Dark Green,Seven Lobes,White,,,,,,,,,,,,,,91,,,Cesar Humberto Ocampo Nahar
CG917-5,CG 917- 5,10.18730/PB121,CG 917- 5,,Manihot,esculenta,,,Improved-Line (BRA 12xCOL 1818),0,Colombia,Valle Del Cauca,Palmira,Ciat Kms: 17,,915,3.5333,-76.25,,,,,,,185,Present,Oblong-Lanceolate,Red,Dark Green,Seven Lobes,White,,,,,,,,,,,,,86,,,,Cesar Humberto Ocampo Nahar
BRA1282,BRA 1282,10.18730/PCJAQ,"3085, BGM 1039, BRA-072281",Palma,Manihot,esculenta,,,Landrace,0,Brazil,Goias,Cavalcante,,,823,-13.7833,-47.45,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,"Webster, Werneck, Antonio C. Allem",11-09-1991,,,,,,,,,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
CUB15,CUB 15,10.18730/PDCVN,,Americana Del Pais,Manihot,esculenta,,,Landrace,0,Cuba,,,,,,,,,"CENTRO DE MEJORAMIENTO DE SEMILLAS AGAMICAS FRUCTOSOS CEMSA- ""FRUCTUOSO RODRIGUEZ""",Cuba,,05-07-1979,,235,Present,Elliptic-Lanceolate,Green,Dark Green,Five Lobes,White,28.09,241,2.7,24.7,32.3,66.45,752,256,2.41,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
PHI1,PHI 1,10.18730/PBS7$,,,Manihot,esculenta,,,Landrace,0,Philippines,,,,,,,,,VISAYAS STATE COLLEGE OF AGRICULTURE,Philippines,,,,225,Present,Lanceolate,Green With Little Red,Dark Green,Three Lobes,White,42.31,1057,1.44,19.91,62.0,63.35,819,443,2.22,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,,100,Cesar Humberto Ocampo Nahar
CTHXXX-8,CTH XXX- 8,10.18730/P7R5B,,,Manihot,carthaginensis,,,Wild,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
BRA1046,BRA 1046,10.18730/PCJDT,"3186, BGM 1051, BRA-072966",Manipeba,Manihot,esculenta,,,Landrace,0,Brazil,Rio Grande Do Norte,Touros,,,2,-5.1833,-35.45,Ciatcas-0138,UNIDADE DE EXPERIMENTACAO E PESQUISA DE AMBITO ESTADUAL DO ACRE,Brazil,"Werneck, Antonio C. Allem",21-03-1988,,,,,,,,,32.53,396,4.5,22.81,33.5,65.9,847,374,3.0,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,,Cesar Humberto Ocampo Nahar
BRA511,BRA 511,10.18730/PBS8=,BRA-059102,I.M. 144,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0138,UNIDADE DE EXPERIMENTACAO E PESQUISA DE AMBITO ESTADUAL DO ACRE,Brazil,,01-09-1982,,270,Absent,Lanceolate,,,,Yellow,38.69,531,1.54,19.62,51.7,61.95,787,505,1.89,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
PER400,PER 400,10.18730/PB132,UNPRG 94,Maria Rumo Blanca,Manihot,esculenta,,,Landrace,0,Peru,,,,,,,,,UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO,Peru,,01-11-1983,,250,Present,Lanceolate,,,,White,35.77,56,1.8,19.26,77.8,66.15,993,380,2.61,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,100,Cesar Humberto Ocampo Nahar
BRA460,BRA 460,10.18730/PB143,BRA-059285,Cipo,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0138,UNIDADE DE EXPERIMENTACAO E PESQUISA DE AMBITO ESTADUAL DO ACRE,Brazil,,01-09-1982,,260,Absent,Lanceolate,Red,Dark Green,Five Lobes,White,39.83,751,2.63,18.96,58.4,63.25,525,168,2.15,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,,100,Cesar Humberto Ocampo Nahar
MEX99,MEX 99,10.18730/PDD5Z,,,Manihot,esculenta,,,Landrace,0,Mexico,Tabasco,Huimanguillo,,,50,17.8167,-93.4,,"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS Y PECUARIAS",Mexico,,01-12-1987,,210,Present,Lanceolate,Red,Dark Green,Five Lobes,White,34.48,97,5.5,22.45,16.0,65.3,557,131,3.45,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,96,,Cesar Humberto Ocampo Nahar
GUA80,GUA 80,10.18730/P7RFN,885,Yuca Blanca,Manihot,esculenta,,,Landrace,0,Guatemala,Escuintla,La Gomera,Parc. Los Chatos Kms: 2,11-07-1984,20,14,-91.0833,Ciatcas-0120,INSTITUTO DE CIENCIA Y TECNOLOGIA AGROPECUARIA,Guatemala,,09-09-1984,,205,Present,Lanceolate,Green,Dark Green,Seven Lobes,White,32.84,506,6.05,19.0,48.4,66.35,835,327,3.06,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
PAR215,PAR 215,10.18730/P8HQF,"254, M 254",Jeruti,Manihot,esculenta,,,Landrace,0,Paraguay,,,,,,,,Ciatcas-0117,INSTITUTO AGRONOMICO NACIONAL - PARAGUAY,Paraguay,,01-10-1992,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
COL1508,COL 1508,10.18730/PA6ZH,CMC 79,Ucv 2104,Manihot,esculenta,,,Landrace,0,Venezuela,,,,01-08-1967,,,,,INSTITUTO COLOMBIANO AGROPECUARIO,Colombia,,10-04-1970,,220,Present,Lanceolate,,,,White,37.05,56,9.05,24.62,40.8,62.8,682,82,4.01,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,100,Cesar Humberto Ocampo Nahar
CTHXXX-143,CTH XXX- 143,10.18730/PA74P,,,Manihot,carthaginensis,,,Wild,0,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
BRA666,BRA 666,10.18730/PCBZ5,BRA-068276,Lisa,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0107,EMPRESA ESTADUAL DE PESQUISA AGROPECUARIA DE SANTA CATARINA,Brazil,,01-07-1983,,195,Present,Pandurate,,,,White,,,,,,,,,,,,,86,,,100,Cesar Humberto Ocampo Nahar
BRA675,BRA 675,10.18730/P9ZYE,BRA-068365,Preta,Manihot,esculenta,,,Landrace,1,Brazil,,,,,,,,Ciatcas-0107,EMPRESA ESTADUAL DE PESQUISA AGROPECUARIA DE SANTA CATARINA,Brazil,,01-07-1983,,220,Present,Lanceolate,,,,White,29.67,137,6.5,23.18,14.25,65.95,595,141,3.85,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
BRA625,BRA 625,10.18730/PBKK2,BRA-067849,Batatinha,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0107,EMPRESA ESTADUAL DE PESQUISA AGROPECUARIA DE SANTA CATARINA,Brazil,,01-07-1983,,200,Present,Linear-Pandurate,,,,White,31.33,326,3.33,22.3,43.8,65.5,485,131,2.8,2002,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,,Cesar Humberto Ocampo Nahar
BRA602,BRA 602,10.18730/PA01H,BRA-061158,Riqueza Mg 32,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0128,INSTITUTO DE PESQUISA AGRONOMICA DO ESTADO DO RIO GRANDE DO SU,Brazil,,01-09-1982,,225,Present,Elliptic-Lanceolate,,,,White,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
BRA585,BRA 585,10.18730/PBKP5,"BGM 0466, BRA-005321",Guaxupe,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0128,INSTITUTO DE PESQUISA AGRONOMICA DO ESTADO DO RIO GRANDE DO SU,Brazil,,01-09-1982,,300,Present,Lanceolate,,,,White,34.21,601,1.04,20.86,52.9,66.5,740,301,2.31,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,100,Cesar Humberto Ocampo Nahar
BRA557,BRA 557,10.18730/PD6B=,BRA-009784,Aipim Pesseg.Chor.,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0128,INSTITUTO DE PESQUISA AGRONOMICA DO ESTADO DO RIO GRANDE DO SU,Brazil,,01-09-1982,,190,Present,Straight or Linear,Red,Dark Green,Seven Lobes,White,32.04,166,5.2,19.89,24.75,68.35,451,94,2.05,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,,Cesar Humberto Ocampo Nahar
BRA530,BRA 530,10.18730/P8B1Q,BRA-059722,Kuluene 1,Manihot,esculenta,,,Landrace,1,Brazil,,,,,,,,,,,,01-09-1982,,210,Present,Linear-Pandurate,,,,White,37.72,102,1.71,20.2,36.1,63.75,974,290,3.06,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,96,100,Cesar Humberto Ocampo Nahar
BRA475,BRA 475,10.18730/P9569,"BGM 0946, BRA-059510",Jau (Im-087),Manihot,esculenta,,,Landrace,1,Brazil,Amazonas,Novo Airao,,,45,-2.6167,-60.9333,Ciatcas-0138,UNIDADE DE EXPERIMENTACAO E PESQUISA DE AMBITO ESTADUAL DO ACRE,Brazil,,01-09-1982,,245,Absent,Oblong-Lanceolate,,,,Yellow,21.2,1551,5.25,21.88,31.3,64.1,719,276,2.08,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
BRA476,BRA 476,10.18730/PA08R,"BGM 0947, BRA-001481",Jaboti Branco,Manihot,esculenta,,,Landrace,0,Brazil,Amazonas,Itacoatiara,,,26,-3.1333,-58.4333,Ciatcas-0138,UNIDADE DE EXPERIMENTACAO E PESQUISA DE AMBITO ESTADUAL DO ACRE,Brazil,,01-09-1982,,245,Present,Lanceolate,,,,Yellow,23.48,904,2.36,19.55,50.3,63.2,657,237,1.86,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
BRA433,BRA 433,10.18730/PBKVA,BRA-060682,Vassourinha 4,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0106,EMPRESA GOIANA DE PESQUISA AGROPECUARIA,Brazil,,01-09-1982,,90,Present,Straight or Linear,Red,Dark Green,Seven Lobes,White,23.73,117,11.1,23.69,16.25,66.25,637,142,3.68,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
BRA427,BRA 427,10.18730/PATQM,BRA-060607,Rio Verde 2,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0106,EMPRESA GOIANA DE PESQUISA AGROPECUARIA,Brazil,,01-09-1982,,205,Absent,Elliptic-Lanceolate,,,,White,29.76,1043,6.3,18.94,43.7,64.95,714,295,3.26,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,96,,Cesar Humberto Ocampo Nahar
BRA394,BRA 394,10.18730/P8B5V,BRA-061646,Laranja Grande,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0106,EMPRESA GOIANA DE PESQUISA AGROPECUARIA,Brazil,,01-09-1982,,260,Present,Linear-Pandurate,,,,White,,,,,,,,,,,,,86,91,,,Cesar Humberto Ocampo Nahar
BRA403,BRA 403,10.18730/PBKZE,BRA-061760,Casco De Burro 2,Manihot,esculenta,,,Landrace,1,Brazil,,,,,,,,Ciatcas-0106,EMPRESA GOIANA DE PESQUISA AGROPECUARIA,Brazil,,01-09-1982,,175,Absent,Ovoid,,,,White,27.77,195,2.6,20.33,51.0,64.15,815,293,3.59,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,,Cesar Humberto Ocampo Nahar
BRA404,BRA 404,10.18730/PATRN,BRA-061778,Castelinha Pao,Manihot,esculenta,,,Landrace,1,Brazil,,,,,,,,Ciatcas-0106,EMPRESA GOIANA DE PESQUISA AGROPECUARIA,Brazil,,01-09-1982,,235,Present,Elliptic-Lanceolate,,,,White,36.57,549,3.6,20.69,19.5,65.45,624,200,2.64,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,96,,Cesar Humberto Ocampo Nahar
BRA371,BRA 371,10.18730/PATVR,BRA-061379,Manicoba,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0106,EMPRESA GOIANA DE PESQUISA AGROPECUARIA,Brazil,,01-09-1982,,185,Present,Lanceolate,,,,White,31.5,131,2.69,22.45,51.2,64.15,442,370,1.66,2002,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,100,Cesar Humberto Ocampo Nahar
BRA372,BRA 372,10.18730/P95FJ,BRA-061387,Macxeira Branca,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0106,EMPRESA GOIANA DE PESQUISA AGROPECUARIA,Brazil,,01-09-1982,,210,Absent,Elliptic-Lanceolate,Red,Dark Green,Seven Lobes,White,32.37,446,2.1,21.35,47.3,66.35,648,202,2.35,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,96,,Cesar Humberto Ocampo Nahar
BRA606,BRA 606,10.18730/PD8W5,BRA-008389,Aipim Anel De Sar.,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0128,INSTITUTO DE PESQUISA AGRONOMICA DO ESTADO DO RIO GRANDE DO SU,Brazil,,01-09-1982,,245,Absent,Lanceolate,,,,White,38.97,76,1.72,21.88,46.2,63.4,793,229,3.85,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
BRA1137,BRA 1137,10.18730/PD8X6,"BGM 0793, BRA-057207",Inha Iii,Manihot,esculenta,,,Landrace,0,Brazil,Bahia,Eunapolis,,,189,-16.3667,-39.5667,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,02-08-1991,,,,,,,,,36.29,290,2.32,20.84,42.9,67.0,722,266,3.0,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,,Cesar Humberto Ocampo Nahar
BRA1247,BRA 1247,10.18730/PD8Y7,"BGM 0378, BRA-001643",Manivainha I,Manihot,esculenta,,,Landrace,0,Brazil,Ceara,Pentecoste,,,45,-3.7833,-39.2667,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,11-09-1991,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
BRA307,BRA 307,10.18730/P989$,"BGM 1213, BRA-054976, CM 341",Cm 341,Manihot,esculenta,,,Improved-Line,0,Colombia,Valle Del Cauca,Cali,Ciat,,915,3.4333,-77.5,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,01-08-1981,,240,Absent,Lanceolate,Green With Little Red,Dark Green,Seven Lobes,Yellow,44.26,99,1.2,21.23,39.9,64.45,1082,537,2.87,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
BRA1348,BRA 1348,10.18730/PD92B,"BGM 0654, BRA-058301",Sutinga,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,21-05-1992,,,,,,,,,33.66,275,3.26,22.37,36.8,66.9,710,226,2.51,2002,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,,Cesar Humberto Ocampo Nahar
BRA1310,BRA 1310,10.18730/PBPCH,"BGM 0068, BRA-006912",Graveto Preto,Manihot,esculenta,,,Landrace,0,Brazil,Bahia,Cruz Das Almas,,,220,-12.6667,-39.1,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,21-03-1992,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
BRA273,BRA 273,10.18730/P98D1,BRA-009015,,Manihot,esculenta,,,Landrace,1,Brazil,,,,,,,,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,01-08-1981,,110,Absent,Straight or Linear,,,,Cream,27.97,92,4.24,24.36,30.0,63.8,818,244,2.74,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,96,100,Cesar Humberto Ocampo Nahar
GUTXXX-59,GUT XXX- 59,10.18730/PD96F,,,Manihot,guaranitica,,,Wild,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
BRA1218,BRA 1218,10.18730/PBPFM,"BGM 0353, BRA-005100, IAC 5- 66",Iac 5-66,Manihot,esculenta,,,Improved-Line,0,Brazil,Sao Paulo,Campinas,,,854,-22.9,-47.05,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,11-09-1991,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
BRA1098,BRA 1098,10.18730/PCFH8,"BGM 0621, BRA-058599",Uvazinha,Manihot,esculenta,,,Landrace,0,Brazil,Ceara,Pacatuba,,,65,-3.9833,-38.6167,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,02-08-1991,,,,,,,,,36.49,528,3.23,19.67,57.0,63.95,810,381,2.44,2002,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,,Cesar Humberto Ocampo Nahar
BRA1116,BRA 1116,10.18730/P7MJ7,"BGM 0694, BRA-057975","Goela De Jacu, Guela De Jacu",Manihot,esculenta,,,Landrace,0,Brazil,Maranhao,Codo,,,47,-4.45,-43.8833,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,02-08-1991,,,,,,,,,30.16,143,4.02,21.02,44.5,65.8,828,367,2.31,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,,Cesar Humberto Ocampo Nahar
BRA1142,BRA 1142,10.18730/P7MK8,"BGM 0814, BRA-057410",Guaiana,Manihot,esculenta,,,Landrace,0,Brazil,Alagoas,Arapiraca,Laranjal,,264,-9.75,-36.65,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,02-08-1991,,,Present,Elliptic-Lanceolate,Purple,Light Green,Seven Lobes,,35.03,1541,2.8,21.28,45.1,64.95,776,299,2.25,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,,Cesar Humberto Ocampo Nahar
BRA1159,BRA 1159,10.18730/PBPGN,"BGM 0981, BRA-101621",Im-206,Manihot,esculenta,,,Landrace,0,Brazil,Amazonas,,,,,,,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,02-08-1991,,,Absent,Ovoid,Red With Little Green,Dark Green,Five Lobes,,37.1,328,2.93,18.65,46.1,67.05,563,169,2.38,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,,Cesar Humberto Ocampo Nahar
PURXXX-4,PUR XXX- 4,10.18730/PA2W$,,,Manihot,purpureo-costata,,,Wild,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
COL1775,COL 1775,10.18730/PCYF5,"CAQ-310, COL 1775",Varejona Legitima,Manihot,esculenta,,,Landrace,0,Colombia,Caqueta,Belen De Los Andaquies,,23-06-1970,250,1.4,-75.8333,,,,Victor Manuel Patino,23-06-1970,Bush,300,Absent,Elliptic-Lanceolate,,,,White,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
COL1777,COL 1777,10.18730/P848W,"CAQ-312, COL 1777",Cuerimorada,Manihot,esculenta,,,Landrace,0,Colombia,Caqueta,Belen De Los Andaquies,,24-06-1970,250,1.4,-75.8333,,,,Victor Manuel Patino,24-06-1970,Bush,240,Present,Elliptic-Lanceolate,Purple,Dark Green,Seven Lobes,White,45.23,33,0.9,17.72,33.4,65.85,749,138,3.62,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
COL2095,COL 2095,10.18730/P8F46,"36, COL 2095",Arahuana,Manihot,esculenta,,,Landrace,0,Colombia,Amazonas,Santa Sofia (Leticia),Vrda El Progreso Kms: 3,15-11-1979,,-3.8667,-70.1667,,,,"Alvaro Amaya, Clair H. Hershey, Pablo Emilio Daza, Yoshiki Umemura",15-11-1979,,265,Present,Elliptic-Lanceolate,,,,White,41.31,43,2.3,20.28,37.5,65.1,1081,574,2.05,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,,100,Cesar Humberto Ocampo Nahar
COL2027,COL 2027,10.18730/PA4D9,"CAS-4, COL 2027",Arrayana,Manihot,esculenta,,,Landrace,0,Colombia,Casanare,Yopal,Alto Viento,19-04-1979,,5.3167,-72.35,,,,"Octavio Vargas, Pedro Millan, Rafael Laberry",19-04-1979,,245,Present,Lanceolate,,,,White,,,,,,,,,,,,,,,96,,Cesar Humberto Ocampo Nahar
COL2055,COL 2055,10.18730/PCGRA,"CAS-32, COL 2055",Catira,Manihot,esculenta,,,Landrace,0,Colombia,Casanare,Aguazul,La Arbolera,21-04-1979,,5.15,-72.5,,,,"Octavio Vargas, Pedro Millan, Rafael Laberry",21-04-1979,,190,Present,Lanceolate,,,,White,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
COL974B,COL 974B,10.18730/P99VA,"ATL-307, COL 974B",Cieneguera,Manihot,esculenta,,,Landrace,0,Colombia,Atlantico,Ponedera,,03-12-1969,5,10.5667,-74.7,,,,Victor Manuel Patino,03-12-1969,Bush,145,Absent,Lanceolate,,,,White,,,,,,,,,,,,,86,,,100,Cesar Humberto Ocampo Nahar
COL418A,COL 418A,10.18730/PAYX6,"COL 418A, TOL-309",Lengua De Pisco,Manihot,esculenta,,,Landrace,0,Colombia,Tolima,Chaparral,,15-08-1969,1000,3.65,-75.4667,,,,Victor Manuel Patino,15-08-1969,Bush,275,Present,Linear-Pandurate,,,,White,,,,,,,,,,,,,86,,,100,Cesar Humberto Ocampo Nahar
COL11,COL 11,10.18730/PA4GC,"COL 11, COR-302",Caucana,Manihot,esculenta,,,Landrace,0,Colombia,Cordoba,San Pelayo,El Palmar,14-05-1969,110,8.8667,-75.7667,,,,Victor Manuel Patino,14-05-1969,Bush,250,Present,Elliptic-Lanceolate,,,,White,,,,,,,,,,,,,86,,,100,Cesar Humberto Ocampo Nahar
